AMT_CREDIT,AMT_ANNUITY,DAYS_BIRTH,DAYS_EMPLOYED,DAYS_REGISTRATION,DAYS_ID_PUBLISH,EXT_SOURCE_2,EXT_SOURCE_3,DAYS_LAST_PHONE_CHANGE,Amount_previous_credit,prediction
312840.0,8379.0,-16590.0,-500.0,-1381.0,-130.0,0.2731154775402316,0.5108529061799658,-2.0,24270.39,1.0
1125000.0,33025.5,-14340.0,-2936.0,-8403.0,-4990.0,0.4877420933728962,0.6479768603302221,-2740.0,1884447.0,1.0
630000.0,19228.5,-12556.0,-1420.0,-1627.0,-4012.0,0.0077481847346421,0.5064842396679806,-155.0,2814309.0,1.0
270000.0,13500.0,-16871.0,-422.0,-2343.0,-395.0,0.7272650349594268,0.6610235391308081,-390.0,1729822.5,0.0
790830.0,62613.0,-10930.0,-3255.0,-5582.0,-810.0,0.5958969102613534,0.056860739515615,-170.0,2209908.6,1.0
568732.5,24885.0,-13109.0,-162.0,-3133.0,-3896.0,0.1732761295386315,0.5136937663039473,-964.0,310170.6,1.0
495000.0,25272.0,-10347.0,-1276.0,-2127.0,-2163.0,0.6992168588466124,0.7338145369642702,-506.0,2916406.305,0.0
277969.5,16087.5,-13673.0,-2079.0,-418.0,-4501.0,0.3381165121351258,0.221335206354466,-1315.0,6082593.705,0.0
105534.0,10408.5,-21773.0,365243.0,-2013.0,-2501.0,0.5810063747149937,0.4543210601605785,-643.0,398747.925,0.0
301464.0,23949.0,-10361.0,-623.0,-1497.0,-3039.0,0.4038066028810246,0.5937175866150576,-374.0,1935000.0,0.0
1024290.0,27018.0,-10511.0,-1189.0,-10019.0,-2427.0,0.5567486968121161,0.3927738606031339,-7.0,863010.0,0.0
661500.0,17577.0,-9466.0,-254.0,-7402.0,-2119.0,0.1429833953536822,0.5814837058057234,-4.0,1377000.0,0.0
90000.0,9580.5,-10282.0,-1557.0,-4742.0,-2647.0,0.4256659096921087,0.7476633896301825,0.0,1034402.265,1.0
1530517.5,44878.5,-14548.0,-205.0,-3755.0,-4849.0,0.4071117838904492,0.8016009030071296,-515.0,675000.0,0.0
239850.0,25830.0,-10043.0,365243.0,-4294.0,-2737.0,0.4251901788793884,0.5108529061799658,-686.0,0.0,0.0
254700.0,14751.0,-24102.0,365243.0,-1100.0,-5005.0,0.5509508272446496,0.7407990879702335,-197.0,996066.81,0.0
545040.0,19705.5,-20405.0,-3019.0,-405.0,-3954.0,0.5932137835743473,0.6910212267577837,-1545.0,601834.5,0.0
